"id"	"p_id"	"loc_id"	"s_time"	"e_time"
"93"	"41"	"10"	"2/2/2021 06:28:47"	"2/2/2021 08:05:47"
"94"	"41"	"3"	"2/2/2021 08:09:47"	"2/2/2021 09:30:47"
"95"	"41"	"11"	"2/2/2021 09:34:47"	"2/2/2021 10:13:47"
"96"	"41"	"13"	"2/2/2021 10:15:47"	"2/2/2021 11:06:47"
"97"	"41"	"7"	"2/2/2021 11:06:47"	"2/2/2021 12:08:47"
"98"	"41"	"12"	"2/2/2021 12:10:47"	"2/2/2021 12:51:47"
"99"	"41"	"1"	"2/2/2021 12:51:47"	"2/2/2021 14:27:47"
"100"	"41"	"9"	"2/2/2021 14:29:47"	"2/2/2021 14:32:47"
"101"	"41"	"5"	"2/2/2021 14:34:47"	"2/2/2021 15:15:47"
"102"	"41"	"15"	"2/2/2021 15:19:47"	"2/2/2021 15:31:47"
"103"	"41"	"6"	"2/2/2021 15:35:47"	"2/2/2021 16:50:47"
"104"	"41"	"8"	"2/2/2021 16:54:47"	"2/2/2021 17:27:47"
"105"	"15"	"8"	"2/2/2021 15:50:07"	"2/2/2021 16:08:07"
"106"	"15"	"12"	"2/2/2021 16:12:07"	"2/2/2021 16:18:07"
"107"	"15"	"3"	"2/2/2021 16:20:07"	"2/2/2021 16:30:07"
"108"	"15"	"7"	"2/2/2021 16:32:07"	"2/2/2021 17:08:07"
"109"	"15"	"11"	"2/2/2021 17:08:07"	"2/2/2021 17:27:07"
"110"	"15"	"15"	"2/2/2021 17:30:07"	"2/2/2021 19:03:07"
"111"	"15"	"2"	"2/2/2021 19:07:07"	"2/2/2021 19:31:07"
"112"	"15"	"10"	"2/2/2021 19:33:07"	"2/2/2021 19:44:07"
"113"	"15"	"9"	"2/2/2021 19:44:07"	"2/2/2021 21:10:07"
"114"	"27"	"6"	"2/2/2021 22:20:07"	"2/2/2021 22:22:07"
"115"	"27"	"1"	"2/2/2021 22:24:07"	"2/2/2021 23:48:07"
"116"	"27"	"12"	"2/2/2021 23:50:07"	"3/2/2021 00:19:07"
"117"	"27"	"2"	"3/2/2021 00:20:07"	"3/2/2021 02:14:07"
"118"	"27"	"7"	"3/2/2021 02:18:07"	"3/2/2021 04:10:07"
"119"	"27"	"13"	"3/2/2021 04:13:07"	"3/2/2021 06:01:07"
"120"	"14"	"9"	"2/2/2021 15:01:58"	"2/2/2021 15:58:58"
"121"	"14"	"4"	"2/2/2021 16:01:58"	"2/2/2021 18:00:58"
"122"	"14"	"2"	"2/2/2021 18:02:58"	"2/2/2021 19:32:58"
"123"	"14"	"10"	"2/2/2021 19:33:58"	"2/2/2021 19:44:58"
"124"	"14"	"11"	"2/2/2021 19:48:58"	"2/2/2021 20:59:58"
"125"	"14"	"6"	"2/2/2021 21:02:58"	"2/2/2021 22:59:58"
"126"	"14"	"8"	"2/2/2021 22:59:58"	"2/2/2021 23:24:58"
"127"	"14"	"16"	"2/2/2021 23:24:58"	"3/2/2021 00:36:58"
"128"	"14"	"15"	"3/2/2021 00:36:58"	"3/2/2021 01:58:58"
"129"	"14"	"5"	"3/2/2021 01:58:58"	"3/2/2021 03:08:58"
"130"	"14"	"7"	"3/2/2021 03:11:58"	"3/2/2021 03:50:58"
"131"	"33"	"11"	"2/2/2021 16:57:33"	"2/2/2021 17:05:33"
"132"	"33"	"1"	"2/2/2021 17:05:33"	"2/2/2021 17:22:33"
"133"	"33"	"3"	"2/2/2021 17:22:33"	"2/2/2021 17:27:33"
"134"	"33"	"2"	"2/2/2021 17:29:33"	"2/2/2021 17:41:33"
"135"	"33"	"5"	"2/2/2021 17:41:33"	"2/2/2021 18:54:33"
"136"	"33"	"14"	"2/2/2021 18:57:33"	"2/2/2021 20:13:33"
"137"	"33"	"6"	"2/2/2021 20:16:33"	"2/2/2021 21:31:33"
"138"	"24"	"11"	"2/2/2021 20:52:34"	"2/2/2021 20:54:34"
"139"	"24"	"2"	"2/2/2021 20:57:34"	"2/2/2021 21:23:34"
"140"	"24"	"14"	"2/2/2021 21:27:34"	"2/2/2021 23:06:34"
"141"	"24"	"4"	"2/2/2021 23:10:34"	"2/2/2021 23:50:34"
"142"	"24"	"12"	"2/2/2021 23:53:34"	"3/2/2021 01:15:34"
"143"	"24"	"8"	"3/2/2021 01:17:34"	"3/2/2021 01:25:34"
"144"	"24"	"1"	"3/2/2021 01:25:34"	"3/2/2021 02:23:34"
"145"	"24"	"6"	"3/2/2021 02:23:34"	"3/2/2021 02:32:34"
"146"	"24"	"5"	"3/2/2021 02:34:34"	"3/2/2021 03:21:34"
"147"	"24"	"3"	"3/2/2021 03:25:34"	"3/2/2021 05:19:34"
"148"	"24"	"13"	"3/2/2021 05:19:34"	"3/2/2021 05:58:34"
"149"	"47"	"9"	"2/2/2021 04:35:57"	"2/2/2021 06:29:57"
"150"	"47"	"8"	"2/2/2021 06:29:57"	"2/2/2021 06:38:57"
"151"	"47"	"5"	"2/2/2021 06:38:57"	"2/2/2021 07:25:57"
"152"	"47"	"12"	"2/2/2021 07:25:57"	"2/2/2021 07:47:57"
"153"	"47"	"6"	"2/2/2021 07:50:57"	"2/2/2021 07:59:57"
"154"	"47"	"16"	"2/2/2021 08:02:57"	"2/2/2021 08:40:57"
"155"	"47"	"2"	"2/2/2021 08:43:57"	"2/2/2021 09:31:57"
"156"	"47"	"11"	"2/2/2021 09:34:57"	"2/2/2021 10:27:57"
"157"	"47"	"7"	"2/2/2021 10:27:57"	"2/2/2021 10:58:57"
"158"	"47"	"13"	"2/2/2021 10:59:57"	"2/2/2021 12:18:57"
"159"	"47"	"14"	"2/2/2021 12:18:57"	"2/2/2021 12:58:57"
"160"	"47"	"10"	"2/2/2021 13:00:57"	"2/2/2021 14:38:57"
"161"	"47"	"15"	"2/2/2021 14:41:57"	"2/2/2021 15:51:57"
"162"	"47"	"4"	"2/2/2021 15:52:57"	"2/2/2021 16:12:57"
"163"	"2"	"15"	"2/2/2021 12:34:55"	"2/2/2021 13:48:55"
"164"	"2"	"2"	"2/2/2021 13:48:55"	"2/2/2021 14:37:55"
"165"	"2"	"5"	"2/2/2021 14:40:55"	"2/2/2021 14:44:55"
"166"	"2"	"4"	"2/2/2021 14:48:55"	"2/2/2021 15:03:55"
"167"	"18"	"1"	"2/2/2021 15:35:50"	"2/2/2021 15:38:50"
"168"	"18"	"12"	"2/2/2021 15:40:50"	"2/2/2021 17:22:50"
"169"	"18"	"16"	"2/2/2021 17:26:50"	"2/2/2021 18:48:50"
"170"	"18"	"8"	"2/2/2021 18:50:50"	"2/2/2021 19:15:50"
"171"	"18"	"3"	"2/2/2021 19:16:50"	"2/2/2021 20:17:50"
"172"	"18"	"11"	"2/2/2021 20:17:50"	"2/2/2021 20:30:50"
"173"	"18"	"2"	"2/2/2021 20:34:50"	"2/2/2021 20:42:50"
"174"	"18"	"7"	"2/2/2021 20:44:50"	"2/2/2021 20:58:50"
"175"	"18"	"14"	"2/2/2021 21:00:50"	"2/2/2021 22:36:50"
"176"	"18"	"15"	"2/2/2021 22:40:50"	"3/2/2021 00:23:50"
"177"	"18"	"10"	"3/2/2021 00:26:50"	"3/2/2021 01:19:50"
"178"	"18"	"13"	"3/2/2021 01:19:50"	"3/2/2021 02:30:50"
"179"	"18"	"9"	"3/2/2021 02:32:50"	"3/2/2021 03:49:50"
"180"	"18"	"4"	"3/2/2021 03:53:50"	"3/2/2021 04:56:50"
"181"	"18"	"5"	"3/2/2021 04:59:50"	"3/2/2021 06:54:50"
"182"	"18"	"6"	"3/2/2021 06:57:50"	"3/2/2021 07:46:50"
"183"	"18"	"1"	"3/2/2021 07:49:50"	"3/2/2021 08:22:50"
"184"	"18"	"12"	"3/2/2021 08:25:50"	"3/2/2021 08:26:50"
"185"	"18"	"16"	"3/2/2021 08:27:50"	"3/2/2021 08:58:50"
"186"	"39"	"13"	"2/2/2021 09:00:04"	"2/2/2021 09:25:04"
"187"	"39"	"10"	"2/2/2021 09:29:04"	"2/2/2021 11:16:04"
"188"	"39"	"7"	"2/2/2021 11:19:04"	"2/2/2021 13:08:04"
"189"	"39"	"9"	"2/2/2021 13:08:04"	"2/2/2021 14:56:04"
"190"	"39"	"8"	"2/2/2021 14:58:04"	"2/2/2021 15:52:04"
"191"	"13"	"3"	"2/2/2021 05:01:53"	"2/2/2021 05:28:53"
"192"	"13"	"1"	"2/2/2021 05:28:53"	"2/2/2021 06:10:53"
"193"	"13"	"6"	"2/2/2021 06:13:53"	"2/2/2021 07:55:53"
"194"	"13"	"10"	"2/2/2021 07:59:53"	"2/2/2021 08:58:53"
"195"	"13"	"7"	"2/2/2021 08:58:53"	"2/2/2021 10:40:53"
"196"	"13"	"9"	"2/2/2021 10:42:53"	"2/2/2021 10:43:53"
"197"	"34"	"9"	"2/2/2021 02:36:15"	"2/2/2021 04:36:15"
"198"	"34"	"2"	"2/2/2021 04:38:15"	"2/2/2021 05:40:15"
"199"	"34"	"13"	"2/2/2021 05:44:15"	"2/2/2021 06:35:15"
"200"	"34"	"12"	"2/2/2021 06:39:15"	"2/2/2021 07:45:15"
"201"	"40"	"16"	"2/2/2021 12:06:18"	"2/2/2021 12:33:18"
"202"	"40"	"4"	"2/2/2021 12:34:18"	"2/2/2021 14:27:18"
"203"	"40"	"3"	"2/2/2021 14:27:18"	"2/2/2021 15:37:18"
"204"	"40"	"7"	"2/2/2021 15:37:18"	"2/2/2021 16:13:18"
"205"	"40"	"14"	"2/2/2021 16:14:18"	"2/2/2021 17:45:18"
"206"	"40"	"10"	"2/2/2021 17:45:18"	"2/2/2021 19:35:18"
"207"	"40"	"12"	"2/2/2021 19:39:18"	"2/2/2021 20:52:18"
"208"	"40"	"11"	"2/2/2021 20:55:18"	"2/2/2021 21:12:18"
"209"	"40"	"8"	"2/2/2021 21:16:18"	"2/2/2021 22:58:18"
"210"	"40"	"9"	"2/2/2021 22:58:18"	"3/2/2021 00:56:18"
"211"	"40"	"5"	"3/2/2021 00:59:18"	"3/2/2021 02:52:18"
"212"	"40"	"15"	"3/2/2021 02:54:18"	"3/2/2021 03:28:18"
"213"	"40"	"6"	"3/2/2021 03:32:18"	"3/2/2021 05:32:18"
"214"	"40"	"2"	"3/2/2021 05:36:18"	"3/2/2021 05:47:18"
"215"	"40"	"1"	"3/2/2021 05:51:18"	"3/2/2021 07:35:18"
"216"	"45"	"10"	"2/2/2021 08:40:47"	"2/2/2021 09:34:47"
"217"	"45"	"2"	"2/2/2021 09:38:47"	"2/2/2021 10:35:47"
"218"	"45"	"6"	"2/2/2021 10:36:47"	"2/2/2021 10:58:47"
"219"	"45"	"14"	"2/2/2021 11:01:47"	"2/2/2021 12:32:47"
"220"	"45"	"11"	"2/2/2021 12:36:47"	"2/2/2021 13:37:47"
"221"	"45"	"9"	"2/2/2021 13:37:47"	"2/2/2021 13:59:47"
"222"	"45"	"3"	"2/2/2021 14:03:47"	"2/2/2021 14:59:47"
"223"	"35"	"10"	"2/2/2021 16:16:56"	"2/2/2021 16:37:56"
"224"	"35"	"12"	"2/2/2021 16:41:56"	"2/2/2021 18:01:56"
"225"	"35"	"7"	"2/2/2021 18:02:56"	"2/2/2021 18:15:56"
"226"	"35"	"14"	"2/2/2021 18:15:56"	"2/2/2021 18:23:56"
"227"	"35"	"5"	"2/2/2021 18:26:56"	"2/2/2021 19:12:56"
"228"	"35"	"15"	"2/2/2021 19:13:56"	"2/2/2021 20:17:56"
"229"	"35"	"9"	"2/2/2021 20:20:56"	"2/2/2021 20:55:56"
"230"	"35"	"13"	"2/2/2021 20:56:56"	"2/2/2021 21:37:56"
"231"	"35"	"4"	"2/2/2021 21:38:56"	"2/2/2021 22:40:56"
"232"	"35"	"1"	"2/2/2021 22:44:56"	"2/2/2021 23:41:56"
"233"	"35"	"2"	"2/2/2021 23:42:56"	"3/2/2021 01:01:56"
"234"	"35"	"8"	"3/2/2021 01:02:56"	"3/2/2021 01:51:56"
"235"	"35"	"16"	"3/2/2021 01:52:56"	"3/2/2021 02:40:56"
"236"	"35"	"6"	"3/2/2021 02:42:56"	"3/2/2021 04:17:56"
"237"	"10"	"1"	"2/2/2021 08:07:59"	"2/2/2021 08:19:59"
"238"	"10"	"9"	"2/2/2021 08:20:59"	"2/2/2021 09:07:59"
"239"	"10"	"5"	"2/2/2021 09:09:59"	"2/2/2021 09:56:59"
"240"	"10"	"7"	"2/2/2021 10:00:59"	"2/2/2021 11:46:59"
"241"	"10"	"13"	"2/2/2021 11:49:59"	"2/2/2021 11:57:59"
"242"	"10"	"8"	"2/2/2021 11:58:59"	"2/2/2021 13:39:59"
"243"	"10"	"16"	"2/2/2021 13:42:59"	"2/2/2021 15:40:59"
"244"	"10"	"3"	"2/2/2021 15:44:59"	"2/2/2021 17:26:59"
"245"	"10"	"2"	"2/2/2021 17:27:59"	"2/2/2021 18:13:59"
"246"	"10"	"11"	"2/2/2021 18:17:59"	"2/2/2021 18:27:59"
"247"	"10"	"14"	"2/2/2021 18:27:59"	"2/2/2021 19:58:59"
"248"	"10"	"6"	"2/2/2021 20:00:59"	"2/2/2021 21:34:59"
"249"	"10"	"4"	"2/2/2021 21:38:59"	"2/2/2021 23:35:59"
"250"	"17"	"4"	"2/2/2021 05:36:53"	"2/2/2021 06:10:53"
"251"	"17"	"6"	"2/2/2021 06:14:53"	"2/2/2021 07:11:53"
"252"	"17"	"2"	"2/2/2021 07:11:53"	"2/2/2021 09:00:53"
"253"	"17"	"13"	"2/2/2021 09:04:53"	"2/2/2021 09:39:53"
"254"	"17"	"7"	"2/2/2021 09:39:53"	"2/2/2021 11:05:53"
"255"	"17"	"3"	"2/2/2021 11:06:53"	"2/2/2021 12:42:53"
"256"	"17"	"9"	"2/2/2021 12:42:53"	"2/2/2021 12:52:53"
"257"	"17"	"1"	"2/2/2021 12:54:53"	"2/2/2021 14:25:53"
"258"	"17"	"8"	"2/2/2021 14:25:53"	"2/2/2021 15:23:53"
"259"	"17"	"5"	"2/2/2021 15:27:53"	"2/2/2021 15:36:53"
"260"	"49"	"12"	"2/2/2021 17:18:48"	"2/2/2021 17:42:48"
"261"	"49"	"8"	"2/2/2021 17:44:48"	"2/2/2021 17:57:48"
"262"	"49"	"15"	"2/2/2021 17:59:48"	"2/2/2021 19:07:48"
"263"	"49"	"16"	"2/2/2021 19:09:48"	"2/2/2021 19:35:48"
"264"	"49"	"9"	"2/2/2021 19:35:48"	"2/2/2021 21:08:48"
"265"	"49"	"5"	"2/2/2021 21:11:48"	"2/2/2021 22:06:48"
"266"	"49"	"13"	"2/2/2021 22:08:48"	"2/2/2021 22:31:48"
"267"	"49"	"6"	"2/2/2021 22:32:48"	"2/2/2021 22:41:48"
"268"	"49"	"1"	"2/2/2021 22:45:48"	"2/2/2021 23:11:48"
"269"	"49"	"11"	"2/2/2021 23:14:48"	"3/2/2021 00:09:48"
"270"	"49"	"2"	"3/2/2021 00:12:48"	"3/2/2021 00:28:48"
"271"	"49"	"4"	"3/2/2021 00:29:48"	"3/2/2021 01:09:48"
"272"	"49"	"14"	"3/2/2021 01:13:48"	"3/2/2021 02:08:48"
"273"	"49"	"3"	"3/2/2021 02:09:48"	"3/2/2021 03:43:48"
"274"	"38"	"1"	"2/2/2021 06:21:29"	"2/2/2021 07:32:29"
"275"	"38"	"2"	"2/2/2021 07:32:29"	"2/2/2021 08:42:29"
"276"	"38"	"3"	"2/2/2021 08:46:29"	"2/2/2021 10:09:29"
"277"	"38"	"9"	"2/2/2021 10:12:29"	"2/2/2021 10:55:29"
"278"	"38"	"13"	"2/2/2021 10:57:29"	"2/2/2021 11:09:29"
"279"	"38"	"16"	"2/2/2021 11:09:29"	"2/2/2021 12:22:29"
"280"	"38"	"15"	"2/2/2021 12:22:29"	"2/2/2021 13:08:29"
"281"	"38"	"7"	"2/2/2021 13:09:29"	"2/2/2021 14:30:29"
"282"	"38"	"8"	"2/2/2021 14:34:29"	"2/2/2021 16:25:29"
"283"	"38"	"4"	"2/2/2021 16:26:29"	"2/2/2021 16:45:29"
"284"	"38"	"14"	"2/2/2021 16:46:29"	"2/2/2021 18:25:29"
"285"	"38"	"6"	"2/2/2021 18:27:29"	"2/2/2021 20:23:29"
"286"	"38"	"5"	"2/2/2021 20:23:29"	"2/2/2021 22:22:29"
"287"	"38"	"12"	"2/2/2021 22:26:29"	"2/2/2021 22:37:29"
"288"	"21"	"7"	"2/2/2021 11:51:16"	"2/2/2021 12:55:16"
"289"	"21"	"16"	"2/2/2021 12:56:16"	"2/2/2021 14:29:16"
"290"	"21"	"11"	"2/2/2021 14:31:16"	"2/2/2021 14:37:16"
"291"	"21"	"9"	"2/2/2021 14:41:16"	"2/2/2021 15:45:16"
"292"	"21"	"13"	"2/2/2021 15:47:16"	"2/2/2021 16:12:16"
"293"	"21"	"14"	"2/2/2021 16:16:16"	"2/2/2021 16:59:16"
"294"	"21"	"15"	"2/2/2021 17:03:16"	"2/2/2021 18:22:16"
"295"	"21"	"6"	"2/2/2021 18:24:16"	"2/2/2021 19:02:16"
"296"	"21"	"3"	"2/2/2021 19:02:16"	"2/2/2021 20:56:16"
"297"	"21"	"5"	"2/2/2021 20:59:16"	"2/2/2021 21:33:16"
"298"	"21"	"12"	"2/2/2021 21:35:16"	"2/2/2021 22:25:16"
"299"	"21"	"2"	"2/2/2021 22:28:16"	"2/2/2021 23:11:16"
"300"	"21"	"10"	"2/2/2021 23:11:16"	"3/2/2021 00:06:16"
"301"	"21"	"4"	"3/2/2021 00:06:16"	"3/2/2021 00:55:16"
"302"	"21"	"1"	"3/2/2021 00:59:16"	"3/2/2021 01:33:16"
"303"	"21"	"8"	"3/2/2021 01:36:16"	"3/2/2021 02:21:16"
"304"	"6"	"3"	"2/2/2021 14:08:49"	"2/2/2021 15:57:49"
"305"	"6"	"8"	"2/2/2021 16:01:49"	"2/2/2021 16:37:49"
"306"	"6"	"1"	"2/2/2021 16:40:49"	"2/2/2021 17:14:49"
"307"	"6"	"12"	"2/2/2021 17:15:49"	"2/2/2021 19:07:49"
"308"	"6"	"11"	"2/2/2021 19:11:49"	"2/2/2021 19:36:49"
"309"	"6"	"2"	"2/2/2021 19:38:49"	"2/2/2021 19:48:49"
"310"	"6"	"4"	"2/2/2021 19:50:49"	"2/2/2021 21:41:49"
"311"	"6"	"15"	"2/2/2021 21:42:49"	"2/2/2021 23:35:49"
"312"	"6"	"5"	"2/2/2021 23:38:49"	"3/2/2021 00:15:49"
"313"	"6"	"13"	"3/2/2021 00:17:49"	"3/2/2021 01:02:49"
"314"	"6"	"10"	"3/2/2021 01:04:49"	"3/2/2021 01:50:49"
"315"	"43"	"3"	"2/2/2021 08:53:27"	"2/2/2021 10:12:27"
"316"	"43"	"14"	"2/2/2021 10:13:27"	"2/2/2021 10:42:27"
"317"	"43"	"12"	"2/2/2021 10:46:27"	"2/2/2021 12:44:27"
"318"	"43"	"8"	"2/2/2021 12:45:27"	"2/2/2021 14:24:27"
"319"	"43"	"16"	"2/2/2021 14:25:27"	"2/2/2021 16:07:27"
"320"	"12"	"3"	"2/2/2021 00:48:41"	"2/2/2021 00:51:41"
"321"	"12"	"7"	"2/2/2021 00:55:41"	"2/2/2021 01:11:41"
"322"	"12"	"15"	"2/2/2021 01:14:41"	"2/2/2021 02:15:41"
"323"	"12"	"16"	"2/2/2021 02:17:41"	"2/2/2021 03:06:41"
"324"	"12"	"1"	"2/2/2021 03:06:41"	"2/2/2021 04:16:41"
"325"	"12"	"11"	"2/2/2021 04:16:41"	"2/2/2021 06:00:41"
"326"	"12"	"8"	"2/2/2021 06:03:41"	"2/2/2021 06:38:41"
"327"	"12"	"12"	"2/2/2021 06:41:41"	"2/2/2021 08:21:41"
"328"	"12"	"6"	"2/2/2021 08:24:41"	"2/2/2021 10:14:41"
"329"	"12"	"2"	"2/2/2021 10:16:41"	"2/2/2021 10:56:41"
"330"	"12"	"5"	"2/2/2021 10:58:41"	"2/2/2021 12:04:41"
"331"	"12"	"13"	"2/2/2021 12:07:41"	"2/2/2021 12:34:41"
"332"	"12"	"9"	"2/2/2021 12:37:41"	"2/2/2021 13:16:41"
